ID,電影名(中),電影名(英),分級,上映日,導演,演員,類型,片長,劇情介紹,電影連結,海報連結,預告連結
64,雪中真相,Snow and the Bear,none,2024-10-18,賽爾森艾爾貢,梅薇迪茲達、薩伊根索伊薩爾,懸疑、劇情,時分,"坎城影后梅薇迪茲達繼《春風勁草》最新代表作，多倫多影展正式入選。
年輕護士阿絲莉被調派至土耳其一處偏遠村莊，一望無際的皚皚白雪讓今年冬天似乎無比漫長，村莊對外道路因大雪封閉，更有傳言稱大熊提早結束冬眠、開始掠食往村莊前進。
一天寒冬夜裡，鎮上發生一起神秘失蹤案，逐漸引起各種傳言，令人惶恐不安，阿絲莉也開始意識到，自己正被捲入一場權力、秘密、猜忌的風暴漩渦。
-政駒",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7475,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240930022.jpg,https://www.youtube.com/embed/iENwWLma6aw?si
65,微笑2,Smile 2,none,2024-10-18,帕克菲恩,羅絲瑪麗德威特、凱爾加納、娜歐蜜史考特、Lukas Gage,驚悚,時分,"《微笑》續集，帕克菲恩編導，娜歐蜜史考特、羅絲瑪麗德薇特、凱爾加納、盧卡斯蓋奇主演。
駭人恐懼正在驚悚蔓延，它永遠不會放過你....即將展開一場全新的世界巡迴演唱會，全球流行天后絲凱萊莉（娜歐蜜史考特飾）開始經歷極度恐怖和無法解釋的事件。
當她受到越來越可怕的驚懼現象以及名氣所帶來的巨大壓力的雙重打擊下，絲凱就被迫必須面對她黑暗的過去，才能在一切完全失控之前重新掌握自己的人生。
-UIP",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7421,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240903001.jpg,https://www.youtube.com/embed/QsMv2cYzsQw?si
66,猛毒最終章：最後一舞,Venom: The Last Dance,none,2024-10-23,【猛毒】系列編劇 凱莉馬修,湯姆哈迪、奇維托艾吉佛、茱諾坦普,奇幻/科幻、冒險、動作,時分,"湯姆哈迪重磅回歸飾演暗黑超級英雄，為猛毒系列三部曲劃下句點。
最愛吃人頭的調皮猛毒又回來了，甚至粉絲最愛的客串角色陳太太都將回歸，這對共生體這次將面對從母星來的外星大軍，。
猛毒無極限的寄生能力也將派上用場，賦予地球生物近乎瘋狂的超猛爆發力。
在這次三部曲中的最後一章，艾迪和猛毒走上逃亡之路，被雙方的陣營一同追殺，共同對抗令人絕望的強大反派，猛毒系列三部曲最終章將迎來最精彩且令人心痛的震撼結局。
-索尼影業",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7323,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240604002.jpg,https://www.youtube.com/embed/jbDABWfr6Vo
67,白南準：月亮是最古早的電視,Nam June Paik: Moon Is the Oldest TV,none,2024-10-25,Amanda Kim,白南準,紀錄片,時分,"1世紀「Z世代」娛樂資訊爆炸，速食影音全球當道。
早在1960年代網路尚未發展之時，白南準便以「破壞藝術家」之稱聞名，透過錄像藝術刻畫他對未來資訊科技發展的奇思。
1974年，他便以「資訊高速公路」形容數據媒體傳播。
這樣的概念在當時極度創新，大膽又準確預測了當今世界各地實時交流、新媒體的急速傳播；他的前衛之舉，更創造出一種空前的視覺饗宴。
本片帶領觀眾深入白南準世界裡科學、藝術、流行文化的破格及融合，同時也見證身處「未來」的我們，如何活出白南準眼中的異想世界！-佳映娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7504,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008003.jpg,https://www.youtube.com/embed/Q1FRaXXZoTo?si
68,巡演轉學生,Confetti,none,2024-10-25,藤田直哉,松藤史恩、齋藤潤,劇情,時分,"帷幕升起，國中生裕貴的生活再次開啟新篇章。
在父親領導的大眾演劇劇團中扮演女角，粉墨登場。
裕貴因巡迴反覆轉學，難以融入校園，不期待交朋友的他，這次卻遇上了叛逆資優生阿建。
一起讀書、徹夜暢聊，裕貴初嚐友誼的美妙。
當阿建的同班前女友茉耶發現裕貴存在，三人逐漸走入彼此的世界。
茉耶迷上了大眾演劇，阿建跟裕貴卻因誤會產生嫌隙……。
劇團邁向最終場演出，帷幕落下，少年情誼是否能迎來圓滿結局？-中影",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7500,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241001015.jpg,https://www.youtube.com/embed/pmKFfQ4J8To?si
69,為我辦一場西式的喪禮,See You,none,2024-10-25,游翰庭,郭品希、楊卓叡、黃聖球、張鈞甯、陳庭妮、李振浩,劇情,時分,"金獎大師廖慶松聯手新銳導演游翰庭共同打造，張鈞甯及陳庭妮以及新銳演員郭品希、楊卓叡、邵奕玫、李振浩、黃聖球及詹子萱共同演出，細膩刻畫青春，細細品味成長過程帶來疼痛的純愛電影。
大家說，釘仔(楊卓叡飾)跳海了，但是他明明就好端端站在我(郭品希飾)的面前。
他用手語對我說：為我辦一場西式的喪禮。
我一直不知道該怎麼辦──不管是西式的喪禮，還是自己面對的所有鳥事。
釘仔的出現與消失，一定有什麼想告訴自己的事。
近來在戲劇作品屢屢演出新類型角色的陳庭妮，這次在《為我辦一場西式的喪禮》中演出高中班導的角色，提到因為這次演出的關係，陳庭妮很想跟高中老師說聲「抱歉」，因為大家在高中生時期的活力、精力和想像力都非常豐富，自己親身體驗後才發現原來在老師的視角因為要管教他們的秩序和成績等等，其實是相對辛苦和吃力的，但也會讓她想起高中生活青春可愛的歲月，所以在拍攝過程反覆看這些年輕演員時，就會想著：「你們要好好享受這個懵懂，很有活力又什麼都不怕的階段，因為這個時光是最迷人的。
」。
-CATCHPLAY",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7499,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241001009.jpg,https://www.youtube.com/embed/7QXv38fRpHc?si
70,鬼禁地,The Cursed Land,none,2024-10-25,帕努亞瑞、孔李狄,阿南達艾華靈漢 Ananda Everingham、博朗帕拉雷 Bront Palarae、詹尼斯奧普拉塞特 Jennis Oprasert,恐怖,時分,"一位喪偶的佛教徒男子（阿南達艾華靈漢飾）帶著女兒（詹尼斯奧普拉塞特飾）搬進穆斯林社區開始新生活，卻意外釋放了破舊房屋裡被封印了200年的「妖靈」，並陸續發生令人毛骨悚然的奇怪現象，無計可施的他只能尋求穆斯林巫醫協助……。
-車庫娛樂",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7480,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240919001.jpg, 
71,從水深0米開始,Swimming in a Sand Pool,none,2024-10-25,山下敦弘,濱尾咲綺、仲吉玲亞、清田美久莉、花岡菁,劇情,時分,"《去唱卡拉OK吧！》、《琳達!琳達!》山下敦弘執導，改編自知名人氣舞台劇，除了飾演游泳社社長千鶴的清田美久莉之外，其餘三人:未來、心、由依皆由舞台劇原班人馬仲吉玲亞、濱尾?綺、花岡堇出演。
高二的暑假，未來和心因為缺課，被體育老師山本要求在暑假期間到校打掃游泳池。
面對著一滴水也沒有，卻堆積了無盡沙子的泳池，她們雖然不情願，卻為了不被死當，拿起掃具在豔陽下開始打掃工作。
不知為何，游泳社的千鶴以及游泳社的前社長由依學姐也加入了打掃的行列。
就這樣，四個女孩各自懷抱著不同的煩惱，她們漫不經心地從校園社團、戀愛心事一路聊到美妝與時尚，各種對生活與未來的期待和迷惘，讓乏味的打掃工作、乾涸的泳池增添了意想不到的青春色彩。
2019年，就讀高二的中田夢花與社團顧問老師討論後，打造出了一部舞台劇劇本，這部細膩的作品在第44屆四國地區高等學校演劇研究大會中獲得了文部大臣賞(最優秀賞)，並成為繼超人氣舞台劇改編而成的電影《阿爾卑斯看台的外緣》後，第二部獲得「高校舞台劇重啟企劃」的作品。
該劇於2021年在東京下北澤小劇場「劇」演出獲得極大迴響後，終於決定要由曾執導《去唱卡拉OK吧！》、《天然子結構》、《琳達!琳達!》等多部優質青春電影的山下敦弘執導搬上大銀幕!導演山下敦弘表示，這是自己繼《琳達!琳達!》後，再次拍攝以女高中生為主角的電影，「時隔多年我又老了許多，但身為一個老人，拍攝期間每天看著這群年輕的編劇、演員們在無水的泳池底奮力嶄露青春的光彩，我覺得非常快樂，也有一種重拾已逝青春的感覺!」片中的四位少女主角，除了飾演游泳社社長千鶴的清田美久莉之外，其餘三人:未來、心、由依皆由舞台劇原班人馬仲吉玲亞、濱尾?綺、花岡堇出演。
四位少女有著截然不同的性格與煩惱，不論是對自身容貌、性別的焦慮，還是對未來志向的徬徨，各種搖擺不定、有點彆扭卻純粹無比的心思，都在夏日的乾涸泳池底經過辯論、爭執、理解、釋懷後得到解放，留下溫柔的餘韻。
-天馬行空",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7477,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240918025.jpg,https://www.youtube.com/embed/8PROxN9twac?si
72,乒乓男孩,Doubles Match,none,2024-10-25,洪伯豪,彭裕愷、李星緯、徐若瑄、鄭人碩、施名帥、魏蔓,劇情、勵志,時分,"胡冠宇對桌球充滿著熱情，每天拉著好友黃軒練習對打，一心想成為奧運選手。
然而隨著實力逐漸成長，兩人的球技也拉開差距、漸行漸遠。
歷經一年的苦練，胡冠宇最終取得選拔賽參賽資格，而他的決賽對手正是──黃軒。
-華納兄弟",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7476,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240918040.jpg,https://www.youtube.com/embed/I8Ylhjg9lnE?si
73,非普通家族,A Normal Family,none,2024-11-01,許秦豪,薛景求、張東健、金喜愛、秀賢,劇情,時分,"《2024台北電影節》閉幕片，本片根據荷蘭作家荷曼・柯赫的暢銷小說《命運晚餐》（TheDinner）改編，《春逝》、《外出》許秦豪執導，金喜愛、薛景求、張東健主演。
薛景求在片中飾演唯利是圖的律師哥哥，張東健則是正直不阿的醫生弟弟，價值觀截然不同的兄弟，卻因為雙方子女涉入的意外，定期家族晚餐演變成一場場複雜的良心攻防戰。
金喜愛在片中與張東健飾演夫妻，她為子女操碎了心，極致又細膩的詮釋，帶動全片情緒，充分展現影后的表演實力。
-網銀國際",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7508,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008020.jpg,https://www.youtube.com/embed/7i1A1Q5WVEA?si
74,罪惡對決,In the Land of Saints and Sinners,none,2024-11-01,勞勃羅倫茲,凱莉肯頓、Desmond Eastwood、Conor MacNeill、Seamus O'Hara,動作、犯罪,時分,"《神鬼獵人》《刺客教條》製作團隊年度鉅獻，地表最強老爸連恩尼遜主演，化身愛爾蘭殺手，《伊尼舍林的女妖》、凱莉肯頓《貝爾法斯特》希朗漢德主演。
1970年代的愛爾蘭，芬巴墨菲（連恩尼遜飾演）在戰爭後獨自隱居偏遠的海濱小鎮，以遠離國內的政治動亂，只是在他看似恬淡的日常中，竟藏著連鄰居都不曉得的陰暗面。
而為了擺脫黑暗過去，芬巴決心揮別喪妻之痛、重拾起對生活的熱情。
但於此同時，一個由冷酷女子朵埃琳（凱莉肯頓飾演）領導的愛爾蘭共和軍小組，為了躲避追緝也來到這個的小鎮藏身。
然而當芬巴發現其同夥曾對一名當地女孩施暴後，便迫使他決定在金盆洗手之前執行他的「最後一次任務」，只是也因這次任務，竟讓看似平靜無波的小鎮掀起了陣陣波瀾。
隨著局勢愈加緊張，芬巴必須在暴露自己祕密身分和保護鎮民之間做出抉擇。
-可樂電影",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7507,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008019.jpg, 
75,仇雲殺機,Cloud,none,2024-11-01,黑澤清,菅田將暉、古川琴音、奧平大兼、窪田正孝,懸疑、驚悚,時分,"《間諜之妻》威尼斯銀獅獎得主黑澤清最新導演作品，《電影版勿說是推理》菅田將暉、古川琴音、奧平大兼、窪田正孝主演。
吉井良介，在擔任工廠作業員的平凡假象之下，以獨到眼光與能言善道的口才，大量低價買進各式產品再高價轉手賣出，賺取橫財。
同為偏門經銷商的學長提議共同投資拍賣事業，卻被良介果斷拒絕;然而，他卻同時間辭去工作，帶著女友埋伏鄉間豪宅，並雇用當地幫手決定擴大事業版圖。
良介野心勃勃，盜賣贗品醜聞卻甚囂塵上，受害買家誓言復仇，恨意如雲無影無蹤，讓渾然不覺的良介，尚未感到死亡威脅即將到來。
黑澤清首次攜手日本電影金像獎影帝菅田將暉，古川琴音、窪田正孝卡司夢幻連動，「五郎」松重豐更驚喜現身。
黑澤清睽違四年回歸本格，再推懸疑驚悚大作。
以軟性、樸素的敘事節奏提煉更加日常化的高壓驚悚，切開邪惡肌理，更直面最純粹的恨意。
看似雲淡風輕，彷若一場沒有煙硝的戰爭，實則在循環積累的惡意中陷入集體瘋狂，誰也無法脫身。
本片不僅入選威尼斯影展，也將代表日本角逐奧斯卡最佳國際影片。
從網際網路的「雲端」意象反映出每個人都可能在虛擬的網路世界獲得利益，同時也可能瞬間成為眾矢之的，而身處其中的當事人卻可能從頭到尾無法得知敵人究竟隱身何方?濃烈的恨意又是因何而起?身處在網路世界就像在層層雲霧中，滿滿的恐懼讓人難以摸清事情的全貌。
導演黑澤清表示，現代日本社會各角落時常發生沒來由的暴力事件，深入調查後會發現，這些事件背後的動機往往源自微小的不滿和挫敗感，卻在經過網路誇大後衍伸成龐大的仇恨，因此這次希望以此為題，拍一部懸疑動作類型電影。
昏暗的燈光、廢棄的工廠、詭異的對話、淒厲的風聲蟲鳴，片中充斥著各種令人坐立難安的元素，讓觀眾一同進入這場因微小恨意而生的瘋狂殺戮戰場。
-天馬行空",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7506,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008013.jpg,https://www.youtube.com/embed/Fk7WY6d9tUM?si
76,愛子歸來,"Come Home, My Child",none,2024-11-01,李靖惠,-,紀錄片,時分,"楊媽媽遭逢重大家庭變故，在生命絕境時，從台灣移民到美國，意外開啟人生新階段。
一群懷抱美國夢的青年，卻在美深陷牢獄，判刑百年。
20多年來，是什麼力量驅動楊媽媽持續寄信，聆聽重刑犯心聲？她的孫女又為何只願以紙條溝通？一部長達十年、橫跨台美的紀錄片，記錄獄中青年與楊媽媽由陌生到情同親人的故事，以及屋簷下祖孫從疏離到敞開心扉的轉變。
-海鵬影業",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7505,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008009.jpg,https://www.youtube.com/embed/xxHNGWn71Os?si
77,鬼們之蝴蝶大廈,"Them, Behind the Door",none,2024-11-01,錢人豪,尹馨、林采潔、馮淬帆、蔡振南、白潤音、曹佑寧,恐怖,時分,"陳薇（尹馨飾）帶著女兒（林采潔飾）為躲避家暴的丈夫住進有自殺勝地之稱的蝴蝶大廈後怪事頻傳。
管理員梁伯（馮淬帆飾）和頂樓的廟公山叔（蔡振南飾）不斷提醒她這一層樓不太乾淨，如果有能力還是盡快搬走，但是經濟拮据的她暫時只能棲身於此。
各種三教九流的鄰居、雜貨鋪有陰陽眼的自閉症男孩阿弟（白潤音飾），還有那間被再三交代禁止靠近的613號房，一切都令陳薇感到詭異莫名。
外表陽光的代班管理員小梁（曹佑寧飾）對獨立堅強的陳薇照顧有加，經常藉故上門幫忙維修家電，陳薇女兒看到他來也會難得露出微笑。
正值鬼門開時，蝴蝶大廈內意外頻傳，甚至發生許多靈異事件，但老住戶們似乎已經習以為常。
陳薇原本是想帶女兒逃離丈夫，不料卻將自己捲入更大危機之中...-海鵬影業",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7479,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240918032.jpg,https://www.youtube.com/embed/MsLa2FEbaIg?si
78,超人：克里斯多夫李維傳奇故事,Super/Man: The Christopher Reeve Story,none,2024-11-01,伊恩邦霍特、彼得艾德蓋,克里斯多夫李維,紀錄片,時分,"克里斯多夫李維在1978年的【超人】中扮演克拉克肯特/超人一炮而紅，之後還主演了三部【超人】系列電影，卻在1995年的馬術比賽發生差點致命的事故，從此全身癱瘓，此後投入社會公益，於2004年過世，享年52歲。
這部紀錄片講述克里斯多夫李維在墜馬事故後面臨的掙扎和奮鬥。
-華納兄弟",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7478,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008012.jpg,https://www.youtube.com/embed/oVlLSvQAhek?si
79,魔法壞女巫,Wicked,none,2024-11-21,朱浩偉,辛西婭艾利沃、亞莉安娜、楊紫瓊、傑夫高布倫、喬納森貝利、伊森斯萊特、瑪麗莎博德 、楊伯文、布朗溫詹姆斯、基拉賽特爾、彼得汀克萊傑,愛情、奇幻/科幻、音樂/歌舞,時分,"每個人都值得展翅高飛這兩個年輕女孩是奇幻世界奧茲國希茲大學的同學，她們認識後就結為出人意表卻親密堅固的友情。
她們在遇見奧茲國大巫師之後，彼此之間的友情就變了樣，她們的人生也各自踏上不同的道路。
格琳達一心一意追求知名度的野心使她受到權力的誘惑，艾法芭則下定決心要忠於自我，並且對她身邊的其他人忠心不二。
她們在奧茲國的冒險旅程最終將決定她們的宿命，讓她們分別成為好女巫格琳達以及西方壞女巫。
-環球影片",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7298,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240521030.jpg,https://www.youtube.com/embed/83K4drAPmfk
80,海洋奇緣2,Moana 2,none,2024-11-28,大衛·G·德瑞克,奧莉伊卡拉瓦爾侯、巨石強森,動畫、奇幻/科幻、冒險,時分,"故事線來到3年後...走吧～一起駛向一段全新航程，在莫娜、毛伊兩位主角之外，還會加入一群令人意外的全新船員。
在祖靈突如其來的呼喚之下，莫娜此番必須啟程航向大洋洲的彼端，一路深入危險未知的海域，好面對一場前所未見的新冒險。
-迪士尼動畫",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7315,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240530001.jpg,https://www.youtube.com/embed/4rqVXBtmcck?si
81,獵人克萊文,Kraven the Hunter,none,2024-12-13,J.C. 錢德爾,亞倫泰勒強森、羅素克洛、亞莉安娜黛博塞,奇幻/科幻、冒險、動作,時分,"超限制級漫威英雄大開殺戒最強動保人士換人當？電影描述主角如何成為漫威宇宙最惡名昭彰的惡棍英雄，亞倫泰勒強森在這部限制級電影中，飾演蜘蛛人的經典世仇，獵人克萊文。
-索尼影業",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7178,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240815003.jpg,https://www.youtube.com/embed/J_AZaVjyNms?si
82,獅子王：木法沙,Mufasa:The Lion King,none,2024-12-19,巴里杰金斯,艾倫皮爾、小凱文哈里遜、約翰卡尼、賽斯羅根、比利艾西納、唐納葛洛佛、麥茲米克森,動畫、冒險、劇情,時分,"故事開始由拉飛奇為辛巴與娜娜的小獅子女兒琪拉雅敘述榮耀國傳奇木法沙的故事，更由澎澎與丁滿在旁為故事加入幽默又搞笑的見解。
故事以回述方式呈現…木法沙曾是一個孤兒幼獅，徬徨漂泊異地，直到他遇見了溫暖的皇室繼承人塔卡，這場相遇開啟了一場不凡的旅程，一路上更碰到了一群看似格格不入的旅伴，友情卻將它們緊緊相連。
它們相互扶持抗致命的威脅，命運也考驗著他們的連結…-迪士尼影業",https://www.vscinemas.com.tw/vsweb/film/detail.aspx?id=7277,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240502004.jpg,https://www.youtube.com/embed/35w3D9Fs8H0?si
